address_norm,address_raw,provider_name,clinic_name,confidence,evidence,provider_row_index,clinic_row_index
1160 SADDLE BRONC DR EL PASO TX 79925,"1160 Saddle Bronc Dr, El Paso, TX 79925, United States","Dr. Stuart W. Kahn, MD",El Paso Pediatric Associates,0.97,Same phone number and elpasopeds.com domain as the clinic listing.,880,544.0
11800 MONTANA AVE EL PASO TX 79936,"11800 Montana Ave, El Paso, TX 79936, United States","Dr. Stanley O. Usen, MD",M & C Childrens Clinic Pa,0.95,Provider uses same phone number and the website domain matches the clinic (mcchildrens.com).,1067,1034.0
11851 PHYSICIANS DR EL PASO TX 79936,"11851 Physicians Dr, El Paso, TX 79936, United States","El Paso Center for Family & Sports Medicine: Angel Garcia, MD",,0.46,"Provider appears associated with 'El Paso Center for Family & Sports Medicine', which is not listed as a separate clinic record in this group; not enough evidence to link to Airrosti.",478,
11880 VISTA DEL SOL DR STE B EL PASO TX 79936,"11880 Vista del Sol Dr Suite B, El Paso, TX 79936, United States","Dr. Ralu Hinojos, MD",Primary Healthcare Physicians,0.93,Same phone number and provider record uses the clinic website domain (phpelpaso.com).,903,763.0
11880 VISTA DEL SOL DR STE B EL PASO TX 79936,"11880 Vista del Sol Dr Suite B, El Paso, TX 79936, United States",Dr. Olmer Brooker,Primary Healthcare Physicians,0.95,Provider listed on php elpaso 'about-us' page and shares clinic phone number.,906,763.0
11880 VISTA DEL SOL DR STE B EL PASO TX 79936,"11880 Vista del Sol Dr Suite B, El Paso, TX 79936, United States","Dr. Raul Zayas, MD",Primary Healthcare Physicians,0.88,Shares the same primary phone number used by Primary Healthcare Physicians at this address.,1047,763.0
11880 VISTA DEL SOL DR STE B EL PASO TX 79936,"11880 Vista del Sol Dr Suite B, El Paso, TX 79936, United States","Dr. Ronald F. Baker, MD",Primary Healthcare Physicians,0.87,Shares the same primary phone number used by Primary Healthcare Physicians at this address.,1053,763.0
11880 VISTA DEL SOL DR STE B EL PASO TX 79936,"11880 Vista del Sol Dr Suite B, El Paso, TX 79936, United States","Dr. Jaime H. Square, MD",Primary Healthcare Physicians,0.88,Shares the same primary phone number used by Primary Healthcare Physicians at this address.,1063,763.0
11989 PELLICANO DR C EL PASO TX 79936,"11989 Pellicano Dr C, El Paso, TX 79936, United States",El Paso Kidney Specialists Pa: Rosario Rey F MD,El Paso Kidney Specialists-East,0.92,Same address/phone and explicitly part of El Paso Kidney Specialists,758,188.0
11989 PELLICANO DR C EL PASO TX 79936,"11989 Pellicano Dr C, El Paso, TX 79936, United States","Dr. Jaime Gonzalez, MD",El Paso Kidney Specialists-East,0.9,Same address/phone indicates provider practices at El Paso Kidney Specialists-East,1166,188.0
11989 PELLICANO DR C EL PASO TX 79936,"11989 Pellicano Dr C, El Paso, TX 79936, United States",Raudales Fernando MD,El Paso Kidney Specialists-East,0.9,Same address/phone indicates provider practices at El Paso Kidney Specialists-East,1167,188.0
11989 PELLICANO DR STE D EL PASO TX 79936,"11989 Pellicano Dr ste d, El Paso, TX 79936, United States","I-Vascular Center of El Paso: Dr. Anwar S. Gerges, MD",I-Vascular Center,0.92,Provider listing is branded as 'I-Vascular Center of El Paso' and shares the same phone/website as the clinic.,1168,1165.0
1201 E SCHUSTER AVE BLDG 7 EL PASO TX 79902,"1201 E Schuster Ave BLDG 7, El Paso, TX 79902, United States",Dr. Ogechika Alozie,Southwest Viral Med,0.55,"Provider shares the same phone number as both clinics; name aligns more directly with 'Southwest Viral Med' as a medical practice label, but linkage remains ambiguous.",254,59.0
1205 N OREGON ST EL PASO TX 79902,"1205 N Oregon St, El Paso, TX 79902, United States",Suresh Antony MD,Center Infectious Diseases,0.9,Same address group and same phone number as the clinic record.,68,22.0
1205 N OREGON ST EL PASO TX 79902,"1205 N Oregon St, El Paso, TX 79902, United States",Dr. Nishaal Antony,Center Infectious Diseases,0.9,Same address group and same phone number as the clinic record.,82,22.0
1208 MYRTLE AVE EL PASO TX 79901,"1208 Myrtle Ave, El Paso, TX 79901, United States",Dr. Celina Beltran,Centro San Vicente,0.8,Provider shares the same phone/address group; Centro San Vicente is the primary named organization at this location and likely employs/hosts the provider,1094,14.0
121 REDD RD EL PASO TX 79932,"121 Redd Rd, El Paso, TX 79932, United States","Dr. Alan L. Carpenter, DO",Upper Valley Urgent Care Center,0.95,Provider shares the same phone number and website domain as Upper Valley Urgent Care Center at this address.,977,145.0
1211B E CLIFF DR EL PASO TX 79902,"1211B E Cliff Dr, El Paso, TX 79902, United States","Isabel Trio-Martinez, MD",Conviva Senior Primary Care,0.93,Provider listed with Conviva website and shares the same address group; Conviva clinic record present.,213,73.0
1211B E CLIFF DR EL PASO TX 79902,"1211B E Cliff Dr, El Paso, TX 79902, United States","Therese S Ramirez, APRN",Conviva Senior Primary Care,0.93,Provider listed with Conviva website and shares the same address group; Conviva clinic record present.,214,73.0
1211B E CLIFF DR EL PASO TX 79902,"1211B E Cliff Dr, El Paso, TX 79902, United States","Angie Macias, MD",Conviva Senior Primary Care,0.93,Provider listed with Conviva website and shares the same address group; Conviva clinic record present.,215,73.0
1211B E CLIFF DR EL PASO TX 79902,"1211B E Cliff Dr, El Paso, TX 79902, United States","Luis E Feliu, PAC",Conviva Senior Primary Care,0.93,Provider listed with Conviva website and shares the same address group; Conviva clinic record present.,218,73.0
124 FRANKLIN ST STE A ANTHONY TX 79821,"124 Franklin St Ste A, Anthony, TX 79821, United States",Sucharitha Meka,Anthony Primary Care Clinic,0.55,"At this address there are two clinics; provider specialty not given, and name aligns more plausibly with medical primary care than a dental office",1345,1339.0
125 W HAGUE RD 110 EL PASO TX 79902,"125 W Hague Rd # 110, El Paso, TX 79902, United States","El Paso Men's Clinic: Leo Altenberg, MD",El Paso Men's & Women's Clinic,0.93,Same phone number and website domain; provider listing appears under the clinic name.,371,18.0
125 W HAGUE RD 440 EL PASO TX 79902,"125 W Hague Rd #440, El Paso, TX 79902, United States",Dr. Rodrigo Alfaro MD,Kidney Consultants of El Paso,0.7,"Provider shares the same phone number as Kidney Consultants of El Paso, indicating affiliation.",197,176.0
125 W HAGUE RD 570 EL PASO TX 79902,"125 W Hague Rd #570, El Paso, TX 79902, United States","Dr. Dionicio M. Alvarez, MD",,0.86,No clinic/facility record provided in this address group; shared phone suggests same practice but clinic entity is absent,185,
125 W HAGUE RD 570 EL PASO TX 79902,"125 W Hague Rd #570, El Paso, TX 79902, United States",Diane Demick MD,,0.86,No clinic/facility record provided in this address group; webpage appears practice-related but clinic record not present to link,195,
125 W HAGUE RD 570 EL PASO TX 79902,"125 W Hague Rd #570, El Paso, TX 79902, United States","Dr. Alfredo E. Gonzalez, MD",,0.86,No clinic/facility record provided in this address group; shared phone suggests same practice but clinic entity is absent,203,
125 W HAGUE RD 590 EL PASO TX 79902,"125 W Hague Rd #590, El Paso, TX 79902, United States",Hernandez Jesus A MD,El Paso Gastroenterology Consultants,0.97,Provider shares the same phone number (915-532-1620) and website domain (elpasogastro.com) with El Paso Gastroenterology Consultants,1135,56.0
125 W HAGUE RD EL PASO TX 79902,"125 W Hague Rd, El Paso, TX 79902, United States",Dr. George San Miguel,FYZICAL Therapy Hand & Balance Centers – West Hague,0.25,Only clinic/facility record in this address group; provider’s website indicates Providence Medical Partners and does not clearly match FYZICAL.,74,1128.0
125 W HAGUE RD STE 260 EL PASO TX 79902,"125 W Hague Rd STE 260, El Paso, TX 79902, United States","Jose Torres, MD",El Paso Rio Grande OB/GYN,0.9,Provider profile is on Providence Medical Partners site and matches same phone/address group as El Paso Rio Grande OB/GYN.,808,1103.0
125 W HAGUE RD STE 260 EL PASO TX 79902,"125 W Hague Rd STE 260, El Paso, TX 79902, United States","Rebecca Montes, MD",El Paso Rio Grande OB/GYN,0.9,Provider profile is on Providence Medical Partners site and matches same phone/address group as El Paso Rio Grande OB/GYN.,978,1103.0
125 W HAGUE RD STE 300 EL PASO TX 79902,"125 W Hague Rd Ste. 300, El Paso, TX 79902, United States","Dr. Christine Brandl, MD",Advanced Center for Women's Health at Providence,0.87,Same address group and phone number; clinic is women's health center consistent with OB/GYN providers listed on Providence medical partners site,100,36.0
125 W HAGUE RD STE 300 EL PASO TX 79902,"125 W Hague Rd Ste. 300, El Paso, TX 79902, United States","Christina DeSantos, MD",Advanced Center for Women's Health at Providence,0.87,Same address group and phone number; provider profile under Providence network aligns with women's health clinic name,253,36.0
125 W HAGUE RD STE 300 EL PASO TX 79902,"125 W Hague Rd Ste. 300, El Paso, TX 79902, United States","Adriana Galindez de Estrada, MD",Advanced Center for Women's Health at Providence,0.86,Same address group and phone number; provider listed in Providence doctor finder likely practicing at the women's health center at this location,764,36.0
125 W HAGUE RD STE 500 EL PASO TX 79902,"125 W Hague Rd Suite 500, El Paso, TX 79902, United States","Ruben Ramirez-Vega, MD",,0.72,Both records are individual providers; no explicit clinic/facility record is present in this address group to link to,94,
125 W HAGUE RD STE 500 EL PASO TX 79902,"125 W Hague Rd Suite 500, El Paso, TX 79902, United States","Humberto Balderrama, FNP-C",,0.72,Both records are individual providers; no explicit clinic/facility record is present in this address group to link to,804,
1250 E CLIFF DR 3E EL PASO TX 79902,"1250 E Cliff Dr #3e, El Paso, TX 79902, United States","Pedro Blandon, MD","Sun City Kidney, PA: Rey Rosario, MD",0.55,"Only clear clinic entity in this address group is 'Sun City Kidney, PA'; provider is a kidney specialist and shares the same address",201,182.0
1250 E CLIFF DR STE 5A EL PASO TX 79902,"1250 E Cliff Dr STE 5A, El Paso, TX 79902, United States",Dr. Oluwamayowa Familua,El Paso Internal Medicine,0.78,Only one clinic/practice entity in this address group; provider likely practices there,1301,230.0
1251 N ZARAGOZA RD EL PASO TX 79907,"1251 N Zaragoza Rd, El Paso, TX 79907, United States",Woo-Telles Argelia MD,Zaragoza Medical Center,0.9,"Provider and clinic share the same address group and identical phone number, suggesting affiliation.",504,498.0
1265 ANTHONY DR ANTHONY NM 88021,"1265 Anthony Dr, Anthony, NM 88021, United States","Dr. Hector I. Ocaranza-Flores, MD",St Anthony's Pediatrics,0.9,Same address group and shared phone number suggest the physician practices at St Anthony's Pediatrics.,1372,1359.0
13017 PERICO DR SAN ELIZARIO TX 79849,"13017 Perico Dr, San Elizario, TX 79849, United States",Salvador Molina,Centro San Vicente - San Elizario Clinic,0.74,Same address group and identical phone number as the clinic record,1398,890.0
13017 PERICO DR SAN ELIZARIO TX 79849,"13017 Perico Dr, San Elizario, TX 79849, United States","Dr. Jose Luna Jr, MD",Centro San Vicente - San Elizario Clinic,0.95,Same address group and identical phone number as Centro San Vicente - San Elizario Clinic,1400,890.0
1309 MONTANA AVE EL PASO TX 79902,"1309 Montana Ave, El Paso, TX 79902, United States","Dr. Michelle Mendoza, MD",Vitality MD,0.96,"Provider and clinic share the same phone number and website, indicating the doctor practices at Vitality MD.",750,44.0
13650 EASTLAKE BLVD STE A-104 HORIZON CITY TX 79928,"13650 Eastlake Blvd Suite A-104, Horizon City, TX 79928, United States","Dr. Juan Carlos Israel Hernandez Garcia, MD",MediCo Healthcare,0.92,"Provider and MediCo Healthcare share the same phone number and address, indicating the provider practices at that clinic.",917,908.0
1400 EL PASO ST STE E EL PASO TX 79902,"1400 El Paso St STE E, El Paso, TX 79902, United States",Salazar Crystal M,Andres D. Boadella MD / AB Pediatric Health Clinic,0.74,Only clear clinic entity at this address group is 'AB Pediatric Health Clinic'; provider likely associated with it.,1108,70.0
1455 S VALLEY DR STE A LAS CRUCES NM 88005,"1455 S Valley Dr STE A, Las Cruces, NM 88005, United States","Heidi Alterson, FNP-C",MountainView Urgent Care at Valley,0.88,Provider record shares the same address group as the urgent care clinic; only one clinic listed,1284,1194.0
1455 S VALLEY DR STE A LAS CRUCES NM 88005,"1455 S Valley Dr STE A, Las Cruces, NM 88005, United States","Adan Menchaca, CNP",MountainView Urgent Care at Valley,0.88,Provider record shares the same address group as the urgent care clinic; only one clinic listed,1285,1194.0
1516 LOMALAND DR EL PASO TX 79935,"1516 Lomaland Dr, El Paso, TX 79935, United States",Dr Benito Marranzini,Frontier Medical Center,0.9,"Shares the same phone number as Frontier Medical Center, indicating affiliation at this address.",998,934.0
1516 LOMALAND DR EL PASO TX 79935,"1516 Lomaland Dr, El Paso, TX 79935, United States","Dr. Sergio F. Rovner, MD",Frontier Medical Center,0.9,"Shares the same phone number as Frontier Medical Center, indicating affiliation at this address.",1015,934.0
1521 JOE BATTLE BLVD EL PASO TX 79936,"1521 Joe Battle Blvd, El Paso, TX 79936, United States","Ismael Rodriguez, MD",UMC - East Clinic,0.9,Provider shares phone and UMC-East location webpage with UMC - East Clinic,964,935.0
1521 JOE BATTLE BLVD EL PASO TX 79936,"1521 Joe Battle Blvd, El Paso, TX 79936, United States","Regina I Molokwu, MD, MPH",UMC - East Clinic,0.9,Provider shares phone and UMC-East location webpage with UMC - East Clinic,1051,935.0
1521 JOE BATTLE BLVD EL PASO TX 79936,"1521 Joe Battle Blvd, El Paso, TX 79936, United States","Jean Choo, MD",UMC - East Clinic,0.9,Provider shares phone and UMC-East location webpage with UMC - East Clinic,1079,935.0
1550 N ZARAGOZA RD STE A-107 EL PASO TX 79936,"1550 N Zaragoza Rd Suite A-107, El Paso, TX 79936, United States",MINERVA MEDRANO,"Primary Care Medical Partners, PA",0.94,"Same address group plus identical phone and website suggests provider affiliated with Primary Care Medical Partners, PA.",1050,915.0
1556 LOMALAND DR 101 EL PASO TX 79935,"1556 Lomaland Dr #101, El Paso, TX 79935, United States",Dionicio Alvarez MD,,0.72,No clinic/facility record provided in this address group to link to.,514,
1556 LOMALAND DR 101 EL PASO TX 79935,"1556 Lomaland Dr #101, El Paso, TX 79935, United States","Dr. Onyema E. Amakiri, DO",,0.72,No clinic/facility record provided in this address group to link to.,999,
1566 LOMALAND DR EL PASO TX 79935,"1566 Lomaland Dr, El Paso, TX 79935, United States",Paramveer Saluja MD,Kidney Consultants of El Paso,0.9,Provider shares the same phone number as the clinic and is likely practicing within that group at this address,1074,179.0
1600 MEDICAL CENTER ST 309 EL PASO TX 79902,"1600 Medical Center St #309, El Paso, TX 79902, United States","Parisa Ibrahim, MD",Providence Medical Partners - Sierra,0.9,Same phone number and Providence Medical Partners branding indicates provider practices at this clinic.,67,105.0
1600 N OREGON ST 1A EL PASO TX 79902,"1600 N Oregon St # 1A, El Paso, TX 79902, United States","Alfredo Chavez, MD, FACP",Gastroenterology Specialists of El Paso,0.95,Same address/phone and provider profile is under Providence Medical Partners associated with the Gastroenterology Specialists location,101,226.0
1600 N OREGON ST 1A EL PASO TX 79902,"1600 N Oregon St # 1A, El Paso, TX 79902, United States","Iliana Guevara, FNP",Gastroenterology Specialists of El Paso,0.95,Same address/phone and provider profile is under Providence Medical Partners associated with the Gastroenterology Specialists location,1439,226.0
1601 BROWN ST EL PASO TX 79902,"1601 Brown St, El Paso, TX 79902, United States","Dr. German T. Hernandez, MD",El Paso Kidney Specialists-West,0.93,Same address group and shared phone number (915) 544-4500,189,177.0
1601 BROWN ST EL PASO TX 79902,"1601 Brown St, El Paso, TX 79902, United States","Ileana Martinez, MD",El Paso Kidney Specialists-West,0.93,Same address group and shared phone number (915) 544-4500,192,177.0
1601 BROWN ST EL PASO TX 79902,"1601 Brown St, El Paso, TX 79902, United States","Simon S. Rodriguez, MD",El Paso Kidney Specialists-West,0.93,Same address group and shared phone number (915) 544-4500,202,177.0
1601 BROWN ST EL PASO TX 79902,"1601 Brown St, El Paso, TX 79902, United States",Raudales Fernando MD,El Paso Kidney Specialists-West,0.9,Same address group and shared phone number (915) 544-4500,286,177.0
1601 BROWN ST EL PASO TX 79902,"1601 Brown St, El Paso, TX 79902, United States","Fernando Moran, MD",El Paso Kidney Specialists-West,0.97,Same phone number and provider website matches clinic domain elpasokidneyspecialists.com,287,177.0
1601 BROWN ST EL PASO TX 79902,"1601 Brown St, El Paso, TX 79902, United States","Dr. Jorge Humberto Serna, MD",El Paso Kidney Specialists-West,0.93,Same address group and shared phone number (915) 544-4500,292,177.0
1605 EL PASEO RD LAS CRUCES NM 88001,"1605 El Paseo Rd, Las Cruces, NM 88001, United States","Dr. Srirengam Muralidhasan, MD",Las Cruces Urgent Care,0.93,Same address group and shared phone number (575) 523-5400 indicates affiliation with Las Cruces Urgent Care,1205,1181.0
1625 MEDICAL CENTER ST EL PASO TX 79902,"1625 Medical Center St, El Paso, TX 79902, United States","Dr. Helen M. Sung, MD",Emcare,0.78,"Shares the same phone number (915) 747-2660 with Emcare, indicating affiliation",278,271.0
1625 MEDICAL CENTER ST EL PASO TX 79902,"1625 Medical Center St, El Paso, TX 79902, United States","Dr. Jeffrey H. Annabi, MD",ER - The Hospitals of Providence - Sierra Campus,0.35,No direct match to Emcare phone; only clear facility at this address group is the ER/Hospital campus,1185,133.0
1626 MEDICAL CENTER ST EL PASO TX 79902,"1626 Medical Center St, El Paso, TX 79902, United States","Dr. Salvador Molina Jr, DO",Gateway East Medical Group Ltd,0.77,Only clinic/practice entity at this address; provider likely affiliated with the medical group,529,946.0
1680 CALLE DE ALVAREZ B LAS CRUCES NM 88005,"1680 Calle De Alvarez # B, Las Cruces, NM 88005, United States","Melanie Gantner, PA-C",Health Care Solutions,0.97,Same phone number and same HCS website domain.,1208,1186.0
1680 CALLE DE ALVAREZ B LAS CRUCES NM 88005,"1680 Calle De Alvarez # B, Las Cruces, NM 88005, United States",Schaefer Stefan MD,Health Care Solutions,0.97,Same phone number and same HCS website domain.,1209,1186.0
1680 CALLE DE ALVAREZ B LAS CRUCES NM 88005,"1680 Calle De Alvarez # B, Las Cruces, NM 88005, United States",Dr. Barbara Cadena,Health Care Solutions,0.85,Same phone number as Health Care Solutions; no separate clinic indicated.,1229,1186.0
1680 CALLE DE ALVAREZ B LAS CRUCES NM 88005,"1680 Calle De Alvarez # B, Las Cruces, NM 88005, United States",Jay Wedel,Health Care Solutions,0.96,Provider listed on hcs-nm.com/our-providers/ which belongs to Health Care Solutions.,1248,1186.0
1680 CALLE DE ALVAREZ B LAS CRUCES NM 88005,"1680 Calle De Alvarez # B, Las Cruces, NM 88005, United States",Abhinav Singh,Health Care Solutions,0.96,Provider listed on hcs-nm.com/our-providers/ which belongs to Health Care Solutions.,1249,1186.0
1700 CURIE DR 1500 EL PASO TX 79902,"1700 Curie Dr # 1500, El Paso, TX 79902, United States","Rodolfo Revilla, MD",Advanced Center for Women's Health at Providence,0.9,Same address group and phone number; provider profile is within Providence Medical Partners and aligns with the clinic location page.,951,221.0
1700 E CLIFF DR BLDG A STE 200 EL PASO TX 79902,"1700 E Cliff Dr Bldg. A, Suite 200, El Paso, TX 79902, United States","Edward Assi, DO, FACC, FSCAI",Center of the Heart - A Providence Medical Partners Practice,0.93,Provider listing on Providence Medical Partners; shared phone number and address group matches the 'Center of the Heart' practice.,78,134.0
