address_norm,address_raw,provider_name,clinic_name,confidence,evidence,provider_row_index,clinic_row_index
11040 VISTA DEL SOL DR STE A EL PASO TX 79935,"11040 Vista del Sol Dr Suite A, El Paso, TX 79935, United States","Jesus Baeza, MD",Eastside Women's Healthcare Center,0.93,Provider profile is on womenscareofelpaso.com; clinic record is the corresponding location at the same phone/address group,692,714.0
11040 VISTA DEL SOL DR STE A EL PASO TX 79935,"11040 Vista del Sol Dr Suite A, El Paso, TX 79935, United States","David Monticone, MD",Eastside Women's Healthcare Center,0.93,Provider profile is on womenscareofelpaso.com; clinic record is the corresponding location at the same phone/address group,905,714.0
11160 LA QUINTA PL EL PASO TX 79936,"11160 La Quinta Pl, El Paso, TX 79936, United States","Dr. Ramon A. Colon-Dordal, MD",Sun City Pediatrics PA,0.9,Same address group and same phone number (915) 591-1494 suggests the doctor practices at Sun City Pediatrics PA,1014,911.0
11167 1/2 LA QUINTA PL EL PASO TX 79936,"11167 1/2, La Quinta Pl, El Paso, TX 79936, United States","Dr. Anne V. Hale, MD",In Vogue Total Women's Healthcare PLLC,0.78,Same phone and website domain; PLLC likely the legal clinic entity for the InVogue brand,900,441.0
11331 JAMES WATT DR BUILDING 100 EL PASO TX 79936,"11331 James Watt Dr Building 100, El Paso, TX 79936, United States","Farooque Ahmed, M.D - Internal Medicine Primary Care",James Watt Medical Center,0.92,"Provider shares the same phone number as the medical center at this address, suggesting affiliation.",906,414.0
11450 GATEWAY N BLVD STE 1100 EL PASO TX 79934,"11450 Gateway N Blvd Suite 1100, El Paso, TX 79934, United States","Pedro ""Pete"" Natividad, FNP-C",Providence Medical Partners - North East,0.93,Same address group and same phone number as the clinic (915-271-4635); provider listed on Providence Medical Partners site,881,704.0
11450 GATEWAY N BLVD STE 1100 EL PASO TX 79934,"11450 Gateway N Blvd Suite 1100, El Paso, TX 79934, United States","Mirabelle Nofeh, NP",Providence Medical Partners - North East,0.93,Same address group and same phone number as the clinic (915-271-4635); provider listed on Providence Medical Partners site,884,704.0
11450 GATEWAY N BLVD STE 1100 EL PASO TX 79934,"11450 Gateway N Blvd Suite 1100, El Paso, TX 79934, United States","Ahmed Ibrahim, MD",Providence Medical Partners - North East,0.78,Same address group and within Providence Medical Partners network; phone differs but no other clinic listed at this address,885,704.0
11450 GATEWAY N BLVD STE 2100 EL PASO TX 79934,"11450 Gateway N Blvd ste 2100, El Paso, TX 79934, United States","Raul J Lopez, MD",West Texas Pain Institute: Northeast Location,0.9,"Provider website is on westtexaspain.com, matching West Texas Pain Institute Northeast Location",882,860.0
11450 GATEWAY N BLVD STE 2100 EL PASO TX 79934,"11450 Gateway N Blvd ste 2100, El Paso, TX 79934, United States","Kendrick Thomas, MD",West Texas Pain Institute: Northeast Location,0.93,"Provider page hosted on westtexaspain.com, associated with West Texas Pain Institute Northeast Location",883,860.0
11548 VISTA DEL SOL DR EL PASO TX 79936,"11548 Vista del Sol Dr, El Paso, TX 79936, United States","Teresa Pinaroc, MD",Sun Valley Medical Clinic,0.9,Provider record uses the same website domain (adultmedclinic.com) as the clinic record at this address.,746,716.0
11548 VISTA DEL SOL DR EL PASO TX 79936,"11548 Vista del Sol Dr, El Paso, TX 79936, United States","Dr. Maria T. Rubio-Pinaroc, MD",Sun Valley Medical Clinic,0.86,Shares the same phone number (915-594-0565) with Sun Valley Medical Clinic at this address.,748,716.0
11880 VISTA DEL SOL DR STE B EL PASO TX 79936,"11880 Vista del Sol Dr Suite B, El Paso, TX 79936, United States","Dr. Raul Zayas, MD",Primary Healthcare Physicians,0.94,Shares the same phone number (915) 855-7900 as Primary Healthcare Physicians.,459,90.0
11880 VISTA DEL SOL DR STE B EL PASO TX 79936,"11880 Vista del Sol Dr Suite B, El Paso, TX 79936, United States","Dr. Ralu Hinojos, MD",Primary Healthcare Physicians,0.97,"Provider record uses the phpelpaso.com website, matching Primary Healthcare Physicians.",464,90.0
11880 VISTA DEL SOL DR STE B EL PASO TX 79936,"11880 Vista del Sol Dr Suite B, El Paso, TX 79936, United States",Dr. Olmer Brooker,Primary Healthcare Physicians,0.98,Listed on phpelpaso.com/about-us and shares the clinic phone number.,840,90.0
11880 VISTA DEL SOL DR STE B EL PASO TX 79936,"11880 Vista del Sol Dr Suite B, El Paso, TX 79936, United States","Dr. Jaime H. Square, MD",Primary Healthcare Physicians,0.94,Shares the same phone number (915) 855-7900 as Primary Healthcare Physicians.,930,90.0
11880 VISTA DEL SOL DR STE B EL PASO TX 79936,"11880 Vista del Sol Dr Suite B, El Paso, TX 79936, United States","Dr. Ronald F. Baker, MD",Primary Healthcare Physicians,0.92,Shares the same phone number (915) 855-7900 as Primary Healthcare Physicians; other linked site appears to be a directory listing.,934,90.0
1201 E SCHUSTER AVE BLDG 7 EL PASO TX 79902,"1201 E Schuster Ave BLDG 7, El Paso, TX 79902, United States",Dr. Ogechika Alozie,Sunset West Health,0.62,Shares the same phone number with Sunset West Health; best match among clinics listed,98,8.0
1205 N OREGON ST EL PASO TX 79902,"1205 N Oregon St, El Paso, TX 79902, United States",Suresh Antony MD,Center Infectious Diseases,0.93,Same address group and identical phone number indicates provider practices at the clinic,78,36.0
1205 N OREGON ST EL PASO TX 79902,"1205 N Oregon St, El Paso, TX 79902, United States",Dr. Nishaal Antony,Center Infectious Diseases,0.93,Same address group and identical phone number indicates provider practices at the clinic,92,36.0
121 REDD RD EL PASO TX 79932,"121 Redd Rd, El Paso, TX 79932, United States","Dr. Alan L. Carpenter, DO",Upper Valley Urgent Care Center,0.97,"Same address group, same phone number, and provider website is the clinic domain (uvucc.com)",876,132.0
1220 N OREGON ST EL PASO TX 79902,"1220 N Oregon St, El Paso, TX 79902, United States",Schecter David R MD,Schecter & Blumenfeld PA,0.9,Same phone number and matching practice website/domain indicate the MD is part of Schecter & Blumenfeld PA.,994,992.0
12201 MONTWOOD DR EL PASO TX 79938,"12201 Montwood Dr, El Paso, TX 79938, United States",Dr. Cecilia Delmoral,Village Medical at Walgreens - Sun Ridge South,0.55,Same address group; only explicit clinic record at this address is Village Medical at Walgreens,949,725.0
12201 MONTWOOD DR EL PASO TX 79938,"12201 Montwood Dr, El Paso, TX 79938, United States","Jodie R Beltran, PA",Village Medical at Walgreens - Sun Ridge South,0.6,Shares the same phone number (915) 955-9495 with Village Medical at Walgreens record,996,725.0
125 W HAGUE RD 110 EL PASO TX 79902,"125 W Hague Rd # 110, El Paso, TX 79902, United States","El Paso Men's Clinic: Leo Altenberg, MD",El Paso Men's & Women's Clinic,0.93,Same phone number and website domain indicate the provider practices at/under the clinic,50,4.0
125 W HAGUE RD 590 EL PASO TX 79902,"125 W Hague Rd #590, El Paso, TX 79902, United States","Marco Bustamante Bernal, MD",,0.4,No explicit clinic/facility record provided in this address group; only provider profiles on Providence Medical Partners directory.,521,
125 W HAGUE RD 590 EL PASO TX 79902,"125 W Hague Rd #590, El Paso, TX 79902, United States","Ricardo Badillo, MD",,0.4,No explicit clinic/facility record provided in this address group; only provider profiles on Providence Medical Partners directory.,711,
125 W HAGUE RD STE 300 EL PASO TX 79902,"125 W Hague Rd Ste. 300, El Paso, TX 79902, United States","Dr. Christine Brandl, MD",Advanced Center for Women's Health at Providence,0.86,Same address group and phone number; clinic is women's health center consistent with OB/GYN provider profiles.,198,59.0
125 W HAGUE RD STE 300 EL PASO TX 79902,"125 W Hague Rd Ste. 300, El Paso, TX 79902, United States","Adriana Galindez de Estrada, MD",Advanced Center for Women's Health at Providence,0.86,Same address group and phone number; provider appears part of Providence women's health partners associated with the clinic.,524,59.0
1251 N ZARAGOZA RD EL PASO TX 79907,"1251 N Zaragoza Rd, El Paso, TX 79907, United States",Woo-Telles Argelia MD,Zaragoza Medical Center,0.9,Provider shares the same phone number and address group with Zaragoza Medical Center,461,407.0
12810 EDGEMERE BLVD EL PASO TX 79938,"12810 Edgemere Blvd, El Paso, TX 79938, United States",Dr. Mauro Provencio,Sun City Sports Medicine Family Clinic,0.92,Provider shares same phone and is referenced on the clinic's website under about-us.,857,843.0
1309 MONTANA AVE EL PASO TX 79902,"1309 Montana Ave, El Paso, TX 79902, United States","Dr. Michelle Mendoza, MD",Vitality MD,0.96,Same phone number and same website domain indicates provider practices at Vitality MD,1020,46.0
13650 EASTLAKE BLVD STE A-104 HORIZON CITY TX 79928,"13650 Eastlake Blvd Suite A-104, Horizon City, TX 79928, United States","Dr. Juan Carlos Israel Hernandez Garcia, MD",MediCo Healthcare,0.9,"Provider and clinic share the same address and identical phone number, indicating affiliation.",830,841.0
13800 EASTLAKE BLVD STE 400 EL PASO TX 79928,"13800 Eastlake Blvd Ste 400, El Paso, TX 79928, United States","Chioma Mgbokwere, MD",Providence Medical Partners - Horizon,0.9,Same phone number and same Providence Medical Partners domain; clinic entry is the only facility in the group,833,759.0
13800 EASTLAKE BLVD STE 400 EL PASO TX 79928,"13800 Eastlake Blvd Ste 400, El Paso, TX 79928, United States","Irma Hernandez, FNP-C",Providence Medical Partners - Horizon,0.9,Same phone number and same Providence Medical Partners domain; clinic entry is the only facility in the group,851,759.0
1387 GEORGE DIETER DR BLDG B EL PASO TX 79936,"1387 George Dieter Dr Bldg B, El Paso, TX 79936, United States","Anabel Lopez Coronado, MD",WellMed at George Dieter,0.95,Same address group and shared phone number; both under WellMed doctors directory,1030,432.0
1387 GEORGE DIETER DR BLDG B EL PASO TX 79936,"1387 George Dieter Dr Bldg B, El Paso, TX 79936, United States","Manuel Jesus Palafox, DO",WellMed at George Dieter,0.95,Same address group and shared phone number; both under WellMed doctors directory,1031,432.0
1393 GEORGE DIETER DR STE A EL PASO TX 79936,"1393 George Dieter Dr suite a, El Paso, TX 79936, United States","John D Day, MD",Nexus Neuroscience,0.95,Same address group and shared phone/website with Nexus Neuroscience,497,520.0
1393 GEORGE DIETER DR STE A EL PASO TX 79936,"1393 George Dieter Dr suite a, El Paso, TX 79936, United States","Harold K. Smith, MD",Nexus Neuroscience,0.95,Same address group and shared phone/website with Nexus Neuroscience,1003,520.0
1516 LOMALAND DR EL PASO TX 79935,"1516 Lomaland Dr, El Paso, TX 79935, United States",Dr Benito Marranzini,Frontier Medical Center,0.92,Shares the same address group and identical phone number with the clinic record,889,410.0
1516 LOMALAND DR EL PASO TX 79935,"1516 Lomaland Dr, El Paso, TX 79935, United States","Dr. Sergio F. Rovner, MD",Frontier Medical Center,0.92,Shares the same address group and identical phone number with the clinic record,902,410.0
1521 JOE BATTLE BLVD EL PASO TX 79936,"1521 Joe Battle Blvd, El Paso, TX 79936, United States","Ismael Rodriguez, MD",UMC - East Clinic,0.93,Provider record uses same phone and UMC East location webpage as UMC - East Clinic.,901,118.0
1521 JOE BATTLE BLVD EL PASO TX 79936,"1521 Joe Battle Blvd, El Paso, TX 79936, United States","Jean Choo, MD",UMC - East Clinic,0.93,Provider record uses same phone and UMC East location webpage as UMC - East Clinic.,950,118.0
1521 JOE BATTLE BLVD EL PASO TX 79936,"1521 Joe Battle Blvd, El Paso, TX 79936, United States","Regina I Molokwu, MD, MPH",UMC - East Clinic,0.93,Provider record uses same phone and UMC East location webpage as UMC - East Clinic.,956,118.0
1550 N ZARAGOZA RD STE A-107 EL PASO TX 79936,"1550 N Zaragoza Rd Suite A-107, El Paso, TX 79936, United States",MINERVA MEDRANO,"Primary Care Medical Partners, PA",0.93,"Provider record shares the same phone number and website as Primary Care Medical Partners, PA",929,853.0
1575 RESLER DR STE D EL PASO TX 79912,"1575 Resler Dr ste d, El Paso, TX 79912, United States","Maria De Benedetti Zunino, MD",Providence Medical Partners - Resler,0.9,Same phone number and both are Providence Medical Partners at the Resler address; provider profile is within the same organization.,586,566.0
1600 MEDICAL CENTER ST 309 EL PASO TX 79902,"1600 Medical Center St #309, El Paso, TX 79902, United States","Parisa Ibrahim, MD",Providence Medical Partners - Sierra,0.93,Provider profile is on providencemedicalpartners.com and shares the same phone number as Providence Medical Partners - Sierra,67,35.0
1700 CURIE DR 1500 EL PASO TX 79902,"1700 Curie Dr # 1500, El Paso, TX 79902, United States","Andres Flores, MD",Advanced Center for Women's Health at Providence,0.62,"Same address group and same Providence Medical Partners phone; specialty not given, so linked to one of the clinics at this address (women's health) by shared contact info",193,127.0
1700 CURIE DR 1500 EL PASO TX 79902,"1700 Curie Dr # 1500, El Paso, TX 79902, United States","Rodolfo Revilla, MD",Advanced Center for Women's Health at Providence,0.62,"Same address group and same Providence Medical Partners phone; specialty not given, so linked to one of the clinics at this address (women's health) by shared contact info",195,127.0
1700 E CLIFF DR BLDG A STE 200 EL PASO TX 79902,"1700 E Cliff Dr Bldg. A, Suite 200, El Paso, TX 79902, United States","Edward Assi, DO, FACC, FSCAI",,0.55,Only provider records present for this address group; no explicit clinic/facility record provided to link to,73,
1700 E CLIFF DR BLDG A STE 200 EL PASO TX 79902,"1700 E Cliff Dr Bldg. A, Suite 200, El Paso, TX 79902, United States","Abraham Gonzalez, MD, FACC",,0.55,Only provider records present for this address group; no explicit clinic/facility record provided to link to,82,
1700 MURCHISON DR EL PASO TX 79902,"1700 Murchison Dr, El Paso, TX 79902, United States","Jorge L. Carmona Rodriguez, MD",Tenet Healthcare,0.4,"Only clinic/organization-like record at this address group; provider should link to the sole clinic entity available, though Tenet may be a parent organization rather than the specific practice.",180,960.0
1700 N OREGON ST 570 EL PASO TX 79902,"1700 N Oregon St # 570, El Paso, TX 79902, United States","Madison Yachcik, DO",Las Palmas Del Sol Obstetrics/Gynecology - West,0.9,"Provider profile is hosted on womenscareofelpaso.com, matching the OB/GYN clinic listing (same domain and phone number)",970,987.0
1700 N OREGON ST STE 755 EL PASO TX 79902,"1700 N Oregon St Suite 755, El Paso, TX 79902, United States","Angel Rios, MD",El Paso Perinatology,0.86,Same address group and same phone number; provider appears to practice within the perinatology clinic,84,982.0
1721 LEE TREVINO DR EL PASO TX 79936,"1721 Lee Trevino Dr, El Paso, TX 79936, United States","Shailen Mhapsekar, MD",WellMed at Lee Trevino,0.96,Provider profile is on WellMed site and shares the same phone/address group as the WellMed location listing,907,1026.0
1721 LEE TREVINO DR EL PASO TX 79936,"1721 Lee Trevino Dr, El Paso, TX 79936, United States","Dr. Edward C. Juarez, MD",WellMed at Lee Trevino,0.93,Same phone number as WellMed at Lee Trevino; likely provider practicing at that location,989,1026.0
1721 LEE TREVINO DR EL PASO TX 79936,"1721 Lee Trevino Dr, El Paso, TX 79936, United States",Cajas Oswaldo C MD,WellMed at Lee Trevino,0.93,Same phone number as WellMed at Lee Trevino; likely provider practicing at that location,1005,1026.0
1724 WESTON BRENT LN EL PASO TX 79935,"1724 Weston Brent Ln, El Paso, TX 79935, United States","Dr. Virabandith V. Songbandith, MD",Well Med-Senior Clinic,0.9,"Provider and clinic share the same address group and identical phone number, indicating affiliation.",897,887.0
1810 MURCHISON DR 300 EL PASO TX 79902,"1810 Murchison Dr # 300, El Paso, TX 79902, United States","Cesar Israel Sandate, DO",WellMed at Murchison,0.9,Same address group and same phone number; WellMed provider profile likely associated with WellMed at Murchison location,185,79.0
200 LISBON ST EL PASO TX 79905,"200 Lisbon St, El Paso, TX 79905, United States","Dr. Juan F. Loya, MD",Centro De Salud Familiar La Fe,0.6,Only clinic/facility listed at this address; provider likely practices there despite different phone number.,353,223.0
2000 B WOODROW BEAN TRANSMOUNTAIN DR STE 200 EL PASO TX 79911,"2000 B Woodrow Bean Transmountain Dr Suite 200, El Paso, TX 79911, United States","Linda S. Lacy, MD",Advanced Center for Women's Health at Providence,0.92,Provider shares the same phone number (915-541-1144) as Advanced Center for Women's Health at Providence,588,555.0
2001 N OREGON ST EL PASO TX 79902,"2001 N Oregon St, El Paso, TX 79902, United States",Providence Memorial Hospital: Compton Michael D MD,The Hospitals of Providence Memorial Campus,0.86,"Provider record explicitly references 'Providence Memorial Hospital' and uses the same memorial campus website/phone, matching Memorial Campus.",999,103.0
2030 N MESA ST EL PASO TX 79902,"2030 N Mesa St, El Paso, TX 79902, United States","Dr. Sergio Ibarra, MD",Southwest Urgent Care Center,0.7,Only one clinic entity listed at this shared address; provider is linked to that clinic by address group.,71,0.0
2121 WYOMING AVE EL PASO TX 79903,"2121 Wyoming Ave, El Paso, TX 79903, United States",Juan G. Becerra MD,Medical Services of the Border,0.93,Provider shares same phone and website domain as Medical Services of the Border,72,85.0
2121 WYOMING AVE EL PASO TX 79903,"2121 Wyoming Ave, El Paso, TX 79903, United States","Luis Carlos Ortiz, MD",Medical Services of the Border,0.9,Provider shares same phone number as Medical Services of the Border at this address,651,85.0
2200 GEORGE DIETER DR EL PASO TX 79936,"2200 George Dieter Dr, El Paso, TX 79936, United States","Dr. Uzodinma R. Dim, MD",International CardioVascular,0.9,Same address group and identical phone number suggests provider practices at International CardioVascular.,1025,1024.0
2204 JOE BATTLE BLVD STE D203 EL PASO TX 79938,"2204 Joe Battle Blvd Ste D203, El Paso, TX 79938, United States",Dr. Victor Nwiloh,Trinity Heritage Clinic,0.84,Only one clinic record at this address group; provider likely affiliated with Trinity Heritage Clinic.,709,706.0
2260 N ZARAGOZA RD STE A114 EL PASO TX 79938,"2260 N Zaragoza Rd SUITE A114, El Paso, TX 79938, United States",dr douglas alorgbey,Zaragoza Family Clinic,0.93,Provider and clinic share the same phone number and the provider record points to the clinic's website domain/page.,488,717.0
2260 TRAWOOD DR STE C EL PASO TX 79935,"2260 Trawood Dr SUITE C, El Paso, TX 79935, United States","Jie Wu, MD",WellMed at Trawood,0.93,Same phone number and WellMed domain; provider likely practices at WellMed at Trawood location,988,681.0
2260 TRAWOOD DR STE C EL PASO TX 79935,"2260 Trawood Dr SUITE C, El Paso, TX 79935, United States","Edward Cruz Juarez, MD",WellMed at Trawood,0.93,Same phone number and WellMed domain; provider likely practices at WellMed at Trawood location,991,681.0
2311 N MESA ST STE J EL PASO TX 79902,"2311 N Mesa St Ste J, El Paso, TX 79902, United States",Roberto Gonzalez MD,Borderland Primary Care PA,0.9,Same address group and shared phone number suggests the physician practices at Borderland Primary Care PA,173,75.0
2496 RICKER RD EL PASO TX 79916,"2496 Ricker Rd, El Paso, TX 79916, United States",Dr. Heidi Francis,Soldier Family Medical Center (SFMC West Bliss),0.84,Only clinic listed at this address group; provider phone aligns with same facility area code/prefix.,695,498.0
2600 IDALIA AVE EL PASO TX 79930,"2600 Idalia Ave, El Paso, TX 79930, United States",Dr. Manuel Borrego MD,United Medical Clinic,0.92,Same address group and same phone number; provider likely practices at United Medical Clinic.,261,217.0
2900 N KANSAS ST EL PASO TX 79902,"2900 N Kansas St, El Paso, TX 79902, United States",Rich Nicolas MD,,0.62,No clinic/facility record present in this address group; only individual MD listings sharing the same phone,194,
2900 N KANSAS ST EL PASO TX 79902,"2900 N Kansas St, El Paso, TX 79902, United States",Asiain Lourdes MD,,0.62,No clinic/facility record present in this address group; only individual MD listings sharing the same phone,197,
2900 N KANSAS ST EL PASO TX 79902,"2900 N Kansas St, El Paso, TX 79902, United States",Munoz Luis R MD,,0.62,No clinic/facility record present in this address group; only individual MD listings sharing the same phone,201,
2950 GEORGE DIETER DR EL PASO TX 79936,"2950 George Dieter Dr, El Paso, TX 79936, United States","Sandra Villavicencio, MD",Village Medical at Walgreens - Sandy Creek,0.98,Same phone number and both are Village Medical; provider profile likely practices at this listed location,247,477.0
2950 GEORGE DIETER DR EL PASO TX 79936,"2950 George Dieter Dr, El Paso, TX 79936, United States",Delilah Franco,Village Medical at Walgreens - Sandy Creek,0.9,Provider profile is within Village Medical network; only clinic at this address group is Village Medical at Walgreens - Sandy Creek,489,477.0
300 S ZARAGOZA RD EL PASO TX 79907,"300 S Zaragoza Rd, El Paso, TX 79907, United States","Esteban Gonzalez, MD",UMC - Ysleta Clinic,0.7,"Provider listed on UMC facility finder; same phone as UMC - Ysleta Clinic, which is the specific clinic at this address",450,409.0
300 S ZARAGOZA RD EL PASO TX 79907,"300 S Zaragoza Rd, El Paso, TX 79907, United States","Gladina M. See, MD",UMC - Ysleta Clinic,0.62,Same phone number as UMC - Ysleta Clinic; UMC site indicates association but clinic page not explicit,458,409.0
300 S ZARAGOZA RD EL PASO TX 79907,"300 S Zaragoza Rd, El Paso, TX 79907, United States","Leida Perez, MD",UMC - Ysleta Clinic,0.7,"Provider listed on UMC facility finder; same phone as UMC - Ysleta Clinic, which is the most specific clinic record at this address",460,409.0
3017 TRAWOOD DR EL PASO TX 79936,"3017 Trawood Dr, El Paso, TX 79936, United States","Dr. Guillermo Parra, MD",Family & Occupational Health,0.93,Same address group and identical phone number suggests the doctor practices at Family & Occupational Health,927,918.0
3022 TRAWOOD DR EL PASO TX 79936,"3022 Trawood Dr, El Paso, TX 79936, United States","Dr. Syed A. Yusoof, MD",,0.3,Provider phone does not match either clinic phone; insufficient evidence to link to a specific clinic at this address.,932,
3022 TRAWOOD DR EL PASO TX 79936,"3022 Trawood Dr, El Paso, TX 79936, United States",Agarwal Ajai MD,Montwood Family Medical Center,0.9,"Provider shares the same phone number as Montwood Family Medical Center, indicating affiliation.",935,417.0
3100 LEE TREVINO DR EL PASO TX 79936,"3100 Lee Trevino Dr, El Paso, TX 79936, United States","Mauricio Davalos, M.D.",El Paso Orthopaedic Surgery Group,0.75,Only clinic/organization record at this address group; provider likely affiliated with the orthopaedic surgery group,937,1009.0
3100 N STANTON ST STE A EL PASO TX 79902,"3100 N Stanton St Ste. A, El Paso, TX 79902, United States","Jorge Villarreal, MD",El Paso Obstetrics and Gynecology - North Stanton Street,0.93,Provider profile hosted on same practice website and shares the same phone number as the clinic listing,179,177.0
3101 FORNEY LN EL PASO TX 79935,"3101 Forney Ln, El Paso, TX 79935, United States","Dr. Manuel Borrego, MD",United Medical Clinic,0.9,"Same address group and same phone number, indicating the provider practices at United Medical Clinic.",507,415.0
3215 GATEWAY BLVD W EL PASO TX 79903,"3215 Gateway Blvd W, El Paso, TX 79903, United States",Luis Rochin,El Paso Pain Center,0.2,"Only clinic listed at this address is El Paso Pain Center, but provider website is for El Paso Primary Care, suggesting a different clinic despite shared address.",243,15.0
3270 JOE BATTLE BLVD STE 215 EL PASO TX 79938,"3270 Joe Battle Blvd Suite 215, El Paso, TX 79938, United States","Tu Cao, DO",,0.55,"Both records are individual providers; no explicit clinic/facility record included for this address group, only a health system directory page.",494,
3270 JOE BATTLE BLVD STE 215 EL PASO TX 79938,"3270 Joe Battle Blvd Suite 215, El Paso, TX 79938, United States","Peter Khalil, MD",,0.55,"Both records are individual providers; no explicit clinic/facility record included for this address group, only a health system directory page.",657,
3270 JOE BATTLE BLVD STE 275 EL PASO TX 79938,"3270 Joe Battle Blvd Suite 275, El Paso, TX 79938, United States","Maribel Serrano, MD",Advanced Center for Women's Health at Providence,0.55,Same address group; only listed clinic at this address is Advanced Center for Women's Health at Providence (phone differs but no other clinic provided),523,383.0
3270 JOE BATTLE BLVD STE 275 EL PASO TX 79938,"3270 Joe Battle Blvd Suite 275, El Paso, TX 79938, United States","Violet Maldonado, MD",Advanced Center for Women's Health at Providence,0.92,Provider shares the same phone number (915-271-4600) and address group with the clinic,951,383.0
3270 JOE BATTLE BLVD STE 275 EL PASO TX 79938,"3270 Joe Battle Blvd Suite 275, El Paso, TX 79938, United States","Jennifer Weidner, MD",Advanced Center for Women's Health at Providence,0.92,Provider shares the same phone number (915-271-4600) and address group with the clinic,952,383.0
3329 MONTANA AVE EL PASO TX 79903,"3329 Montana Ave, El Paso, TX 79903, United States","Dr. Rafael Armendariz Sr, MD","Salud y Vida, P.A.",0.9,"Provider website is saludyvidapa.com, matching Salud y Vida, P.A.",238,206.0
3379 WEDGEWOOD DR STE C EL PASO TX 79925,"3379 Wedgewood Dr STE C, El Paso, TX 79925, United States",Villalobos Victor M MD,Mt. West Family Health Center,0.9,Provider shares the same phone number as Mt. West Family Health Center at this address.,405,161.0
3551 RICH BEEM BLVD STE C EL PASO TX 79938,"3551 Rich Beem Blvd ste c, El Paso, TX 79938, United States",Victor Villalobos,Mt. West Family Health Center,0.94,Provider record shares the same phone number as Mt. West Family Health Center at this address.,954,144.0
3607 RIVERA AVE EL PASO TX 79905,"3607 Rivera Ave, El Paso, TX 79905, United States","Dr. Luis R. Garza, MD",,0.25,No explicit clinic/facility record in this address group; only a possible clinic website domain (pvida.net) but not enough to identify a specific clinic entity here.,96,
3607 RIVERA AVE EL PASO TX 79905,"3607 Rivera Ave, El Paso, TX 79905, United States","Dr. Luis L. Rodriguez, MD",,0.3,No clinic/facility record provided for this address group to link to.,365,
